,Date,Real_date,PT,ES,IT,IE,GR,DE,PT._spread,ES_spread,IT_spread,IE_spread,GR_spread,PT_var,Open_BCP,High_BCP,Low_BCP,Close_BCP,Volume_BCP,AdjClose_BCP,Date_Real,BCP_var,BCP_traded_volume,Open_BPI,High_BPI,Low_BPI,Close_BPI,Volume_BPI,AdjClose_BPI,BPI_var,BPI_traded_volume,Open_BES,High_BES,Low_BES,Close_BES,Volume_BES,AdjClose_BES,BES_var,BES_traded_volume
905,07/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08015,2.08739,2.07652,2.08015,8069000,1.84844,07/08/00,0.962130229,16784730.35,3.77756,3.78732,3.75804,3.78732,516700,3.33946,0.717020117,1956908.244,10.2501,10.2719,10.1356,10.2447,146800,7.51234,0.984026282,1503921.96
1041,08/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08377,2.08739,2.08015,2.08015,11442500,1.84844,08/08/00,0.961048235,23802116.38,3.79709,3.79709,3.7678,3.77756,496900,3.33086,0.712386591,1877069.564,10.2447,10.2447,10.092,10.212,238400,7.48836,0.983975129,2434540.8
1179,09/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08739,2.09102,2.08377,2.08377,7737300,1.85166,09/08/00,0.958415692,16122753.62,3.7678,3.78732,3.7678,3.7678,334300,3.32225,0.689969147,1259575.54,10.1956,10.2501,10.1684,10.2229,85800,7.49635,0.98399221,877124.82
1315,10/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08739,2.09102,2.08377,2.08739,10627300,1.85488,10/08/00,0.95670879,22183319.75,3.77756,3.77756,3.75804,3.75804,722000,3.31364,0.651742495,2713304.88,10.2447,10.2501,10.0866,10.2501,242800,7.5163,0.984034698,2488724.28
1454,11/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09102,2.10189,2.08739,2.09827,14551600,1.86455,11/08/00,0.945295111,30533185.73,3.75804,3.77756,3.75804,3.77756,349800,3.33086,0.606708177,1321390.488,10.1138,10.2501,10.1138,10.2501,54200,7.5163,0.936005748,555555.42
1865,14/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10189,2.10914,2.09464,2.09464,10448600,1.86132,14/08/00,0.956912299,21886055.5,3.77756,3.83613,3.7678,3.83613,411500,3.3825,0.680709534,1578567.495,10.1956,10.2501,10.1247,10.2338,380300,7.50434,0.984009253,3891914.14
2000,15/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09464,2.09464,2.09464,2.09464,0,1.86132,15/08/00,0.956536222,0,3.83613,3.83613,3.83613,3.83613,0,3.3825,0.676866223,0,10.2338,10.2338,10.2338,10.2338,0,7.50434,0.984009253,0
2138,16/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10551,2.10551,2.09827,2.09827,6504900,1.86455,16/08/00,0.955807031,13649036.52,3.80685,3.84589,3.80685,3.80685,381200,3.35668,0.661272448,1451171.22,10.2011,10.2447,10.1411,10.1956,78000,7.47633,0.983949344,795256.8
2274,17/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10551,2.11276,2.10189,2.10551,6760700,1.87098,17/08/00,0.956172701,14234721.46,3.81661,3.83613,3.80685,3.81661,277300,3.36529,0.667487795,1058345.953,10.2011,10.2011,10.0866,10.1247,241500,7.42434,0.983836947,2445115.05
2413,18/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10914,2.12001,2.10914,2.12001,10204200,1.88386,18/08/00,0.945271942,21633006.04,3.83613,3.83613,3.81661,3.81661,322800,3.36529,0.58309685,1232001.708,10.2065,10.2338,10.1193,10.2338,196500,7.50434,0.944032387,2010941.7
2825,21/08/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12001,2.12726,2.12001,2.12363,2437600,1.88708,21/08/00,0.95787142,5176560.488,3.82637,3.83613,3.81661,3.83613,73700,3.3825,0.68248337,282722.781,10.1902,10.2283,10.1466,10.212,13300,7.48836,0.983975129,135819.6
